Rank,Player,Age,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Unadjusted,Wins-Unadjusted,WS-Unadjusted,VORP-Unadjusted,Total Games
1,Giannis (1),24,MIL,76.24561404,61.85964912,1,33.2,27.2,12.7,6,1.4,1.4,0.581,0.223,0.717,15.24912281,0.29,8.056140351,10.7,53,43,10.6,5.6,57
2,Harden (2),29,HOU,77.68421053,47.47368421,10,37.4,36.6,6.7,7.7,2.2,0.8,0.441,0.374,0.871,15.10526316,0.249,10.07017544,11.8,54,33,10.5,7,57
3,PG13 (3),28,OKC,80.56140351,53.22807018,7,36.3,28.7,8,4.1,2.3,0.5,0.453,0.406,0.837,13.95438596,0.23,6.185964912,6.4,56,37,9.7,4.3,57
4,Curry (4),30,GSW,66.1754386,58.98245614,3,34.3,28.6,5.1,5.2,1.2,0.4,0.488,0.444,0.922,10.50175439,0.221,5.035087719,6.7,46,41,7.3,3.5,57
5,Embiid (5),24,PHI,76.34482759,52.31034483,8,33.7,27.3,13.5,3.5,0.6,1.9,0.482,0.295,0.811,10.32068966,0.192,3.393103448,3.3,54,37,7.3,2.4,58
6,Jokic (6),23,DEN,80.56140351,56.10526316,4,31.6,20.4,10.6,7.7,1.4,0.6,0.505,0.308,0.849,12.51578947,0.236,7.480701754,9.7,56,39,8.7,5.2,57
7,KD (7),30,GSW,82,58.98245614,3,35.4,27.6,7,5.9,0.8,1.1,0.516,0.367,0.893,12.65964912,0.21,4.89122807,4.6,57,41,8.8,3.4,57
8,LeBron (8),34,LAL,56.10526316,40.28070175,16,34.9,26.8,8.6,7.6,1.3,0.6,0.513,0.355,0.679,7.768421053,0.191,4.747368421,7.7,39,28,5.4,3.3,57
9,Kawhi (9),27,TOR,59.76271186,59.76271186,2,34.8,27,7.7,3.3,1.9,0.4,0.492,0.363,0.864,10.00677966,0.23,3.891525424,5.3,43,43,7.2,2.8,59
10,Kyrie (10),26,BOS,66.44827586,52.31034483,6,32.5,23.6,4.9,6.9,1.6,0.4,0.498,0.409,0.866,9.755172414,0.218,4.806896552,6.9,47,37,6.9,3.4,58
