rank,won_mvp,player,season_start,age,pos,pos_number,tm,pts_won,pts_max,vote_share,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
1,1,Larry Bird,1984,28,SF,3,BOS,763,780,0.978,564521,80,63,1,1.5,39.5,11.5,22,0.522,0.7,1.6,0.427,10.8,20.4,0.529,0.538,5,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,26.5,0.585,0.074,0.26,6,22.6,14.7,25.7,1.9,1.7,11.2,28.5,15.7,0.238,8.4,8.5,5.419678362,1.909034764
2,0,Magic Johnson,1984,25,PG,1,LAL,264,780,0.338,957447,77,62,2,1.5,36.1,6.5,11.7,0.561,0.1,0.5,0.189,6.5,11.2,0.577,0.565,5.1,6,0.843,1.2,5,6.2,12.6,1.5,0.3,4,2,18.3,23.2,0.637,0.041,0.516,4.1,14.4,9.7,42.5,1.9,0.5,21.7,20.5,12.7,0.22,5.2,5.4,6.885958895,0.04780356
3,0,Moses Malone,1984,29,C,5,PHI,218,780,0.279,662445,79,58,4,3,37.4,7.6,16.3,0.469,0,0,0,7.6,16.2,0.47,0.469,9.3,11.4,0.815,4.9,8.2,13.1,1.6,0.8,1.6,3.6,2.7,24.6,22.5,0.577,0.002,0.704,14.8,24.4,19.7,6.6,1.1,2.4,14.5,26.8,11.9,0.193,2.6,1.5,1.585412275,1.104896756
4,0,Kareem Abdul-Jabbar,1984,37,C,5,LAL,206,780,0.264,554402,79,62,2,1.5,33.3,9.2,15.3,0.599,0,0,0,9.2,15.3,0.6,0.599,3.7,5,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3,22,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,11.2,0.204,4.6,4.9,2.516025092,1.845928828
5,0,Terry Cummings,1984,23,PF,4,MIL,138,780,0.177,0,79,59,3,6.5,34.5,9.6,19.4,0.495,0,0,0,9.6,19.4,0.496,0.495,4.3,5.9,0.741,3.1,6,9.1,2.9,1.5,0.8,2.4,3.3,23.6,22.1,0.536,0.001,0.302,10,19.1,14.6,13.5,2.1,1.5,9.9,28.8,10.7,0.189,4,3.8,2.236313506,1.818561188
6,0,Michael Jordan,1984,21,SG,2,CHI,134,780,0.172,606193,82,38,14,20.5,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,25.8,0.592,0.032,0.459,6.3,13.2,9.8,25.3,3,1.3,13,29.8,14,0.213,8.1,8.2,5.94841027,1.565631183
7,0,Bernard King,1984,28,SF,3,NYK,70,780,0.09,381660,55,24,21,4,37.5,12.6,23.7,0.53,0,0.2,0.1,12.5,23.5,0.534,0.531,7.7,10,0.772,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,32.9,25.2,0.585,0.008,0.424,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,7.1,0.166,3.3,4.3,3.778191547,-0.885242053
8,0,Sidney Moncrief,1984,27,PG,1,MIL,65,780,0.083,403033,73,59,3,6.5,37.5,7.7,15.9,0.483,0.1,0.5,0.273,7.6,15.5,0.489,0.487,6.2,7.5,0.828,2,3.3,5.4,5.2,1.6,0.5,2.5,2.7,21.7,20.1,0.565,0.028,0.472,6.1,9.8,7.9,20.1,2.1,0.8,11.6,23.6,11.2,0.197,4.6,4.7,3.706649589,0.81553936
9,0,Isiah Thomas,1984,23,PG,1,DET,63,780,0.081,660017,81,46,7,5,38.1,8,17.4,0.458,0.4,1.4,0.257,7.6,16,0.476,0.468,4.9,6.1,0.809,1.4,3,4.5,13.9,2.3,0.3,3.7,3.6,21.2,22.2,0.529,0.08,0.35,3.7,8.7,6.1,47.9,2.8,0.4,15.7,24,11.2,0.173,5.6,5.2,6.312433625,0.854290202
10,0,Ralph Sampson,1984,24,PF,4,HOU,26,780,0.033,620824,82,48,6,10.5,37.6,9.2,18.3,0.502,0,0.1,0,9.2,18.2,0.504,0.502,3.7,5.5,0.676,2.8,7.6,10.4,2.7,1,2,4,3.7,22.1,17.4,0.533,0.004,0.299,8.2,22.6,15.4,10.4,1.2,3.1,16.1,25.9,6.2,0.096,2.1,0.8,-1.480697746,0.781033059
1,1,Larry Bird,1985,29,SF,3,BOS,765,780,0.981,702440,82,67,1,2,38,9.7,19.6,0.496,1,2.4,0.423,8.7,17.2,0.506,0.521,5.4,6,0.896,2.3,7.5,9.8,6.8,2,0.6,3.2,2.2,25.8,25.6,0.58,0.121,0.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,15.8,0.244,8.7,9.1,6.372240664,2.63428856
