Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Kareem Abdul-Jabbar,32,LAL,147,221,0.665,82,60,2,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227,6.8,6.7,,,,
2,Julius Erving,29,PHI,31.5,221,0.143,78,59,3,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213,6.5,7.2,,,,
3,George Gervin,27,SAS,19,221,0.086,78,41,10,37.6,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,10.6,0.173,3.1,2.2,,,,
4,Larry Bird,23,BOS,15,221,0.068,82,61,1,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,5.4,5.3,,,,
5,Tiny Archibald,31,BOS,2,221,0.009,80,61,1,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.148,1.5,0,,,,
5,Dennis Johnson,25,SEA,2,221,0.009,81,56,4,36.3,19,5.1,4.1,1.8,1,0.422,0.207,0.78,7.4,0.12,2.8,1.7,,,,
5,Dan Roundfield,26,ATL,2,221,0.009,81,50,6,32,16.5,10.3,2.3,1.2,1.7,0.499,0,0.71,9.1,0.169,4.3,4.6,,,,
8,Gus Williams,26,SEA,1.5,221,0.007,82,56,4,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.788,11.6,0.187,4.5,4.1,,,,
9,Moses Malone,24,HOU,1,221,0.005,82,41,9,38.3,25.8,14.5,1.8,1,1.3,0.502,0,0.719,11.9,0.183,3.8,2.8,,,,
1,Julius Erving,30,PHI,454,690,0.658,82,62,2,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,7.2,8,,,,
2,Larry Bird,24,BOS,423,690,0.613,82,62,1,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16,5.8,5.1,,,,
3,Kareem Abdul-Jabbar,33,LAL,286,690,0.414,80,54,5,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23,5.4,5.3,,,,
4,Moses Malone,25,HOU,180,690,0.261,80,40,11,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202,4.7,3.7,,,,
5,George Gervin,28,SAS,83,690,0.12,82,52,6,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182,2.5,1.6,,,,
6,Marques Johnson,24,MIL,73,690,0.106,76,60,3,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211,5.1,5.9,,,,
7,Robert Parish,27,BOS,53,690,0.077,82,62,1,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228,4,5,,,,
8,Dennis Johnson,26,PHO,50,690,0.072,79,57,4,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154,2.6,2,,,,
9,Tiny Archibald,32,BOS,32,690,0.046,80,62,1,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118,0.5,-1.3,,,,
