Rank,Player,Age,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM
1,Giannis (1),24,MIL,72,60,1,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,7.6,10.8
2,Harden (2),29,HOU,78,53,5,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,9.9,11.7
3,PG13 (3),28,OKC,77,49,10,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,5.3,5.5
4,Curry (4),30,GSW,69,57,3,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,4.9,6.3
5,Embiid (5),24,PHI,64,51,7,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,3.3,4.1
6,Jokic (6),23,DEN,80,54,4,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,7.3,9.5
7,KD (7),30,GSW,78,57,3,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,4.3,4.3
8,Lillard (8),28,POR,80,53,6,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,5.4,5.5
9,Kawhi (9),27,TOR,60,58,2,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224,3.6,5
10,Westbrook (10),30,OKC,73,49,10,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124,5.6,6.5
